"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"bayt-7821447685232676901","bayt","https://www.bayt.com/en/uae/jobs/fsd-developer-5289297/","","FSD Developer","Synechron","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-8433344985502148323","bayt","https://www.bayt.com/en/uae/jobs/finacle-developer-5289290/","","finacle developer","Synechron","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-4030211502339994179","bayt","https://www.bayt.com/en/kuwait/jobs/servicenow-developer-administrator-5282756/","","ServiceNow Developer / Administrator","Diyar United Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1951991251508034288","bayt","https://www.bayt.com/en/china/jobs/software-developer-5280397/","","Software Developer","Wuwi Inc","Wenzhou · China","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-7761609300624895711","bayt","https://www.bayt.com/en/saudi-arabia/jobs/it-developer-5252177/","","IT Developer","Wared for water services","Medina · Saudi Arabia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-285022935852814070","bayt","https://www.bayt.com/en/oman/jobs/software-engineer-oman-5278159/","","Software Engineer- Oman","Diyar United Company","Muscat · Oman","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-5389214942948406735","bayt","https://www.bayt.com/en/palestine/jobs/golang-and-reactjs-developer-5272549/","","Golang and ReactJs Developer","GGateway for Outsourcing IT","West Bank · Palestine","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-2943060502505551275","bayt","https://www.bayt.com/en/kuwait/jobs/senior-it-developer-5270062/","","Senior IT Developer","DSV","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-15736489549877950","bayt","https://www.bayt.com/en/lebanon/jobs/software-developer-5265869/","","Software Developer","BUTEC S.A.L.","Beirut · Lebanon","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1174136533225885620","bayt","https://www.bayt.com/en/qatar/jobs/net-sss-application-developer-5264578/","",".Net SSS Application developer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-6680767242451723003","bayt","https://www.bayt.com/en/uae/jobs/rpa-developer-5262972/","","RPA Developer","TASC Outsourcing","Dubai · UAE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-889336817930800278","bayt","https://www.bayt.com/en/usa/jobs/wordpress-developer-5262447/","","WordPress Developer","Power Pulse Marketing","New York · USA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-7599123937785657546","bayt","https://www.bayt.com/en/qatar/jobs/sap-bods-developer-5261448/","","SAP BODS Developer","VINIRMA Consulting Pvt.Ltd","Doha · Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1550999285525754525","bayt","https://www.bayt.com/en/jordan/jobs/net-maui-developer-5257223/","","NET MAUI Developer .","tradervolt","Amman · Jordan","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-5924128737674243115","bayt","https://www.bayt.com/en/qatar/jobs/sap-bods-developer-5256566/","","SAP BODS Developer","VINIRMA Consulting Pvt.Ltd","Doha · Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-1737127111483915414","bayt","https://www.bayt.com/en/kuwait/jobs/programmer-5253636/","","Programmer","Confidential Company","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bayt-20147139630533636","bayt","https://www.bayt.com/en/qatar/jobs/senior-sap-developer-abap-5251248/","","Senior SAP Developer – ABAP","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","","","","","","","",""
